unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1.61282E+12,2/8/2021 22:00,ADA/USDT,0.68982,0.69988,0.6703,0.68469,58329395.9,40102084.68,39176
1.61282E+12,2/8/2021 21:00,ADA/USDT,0.70949,0.714,0.68,0.68956,52525610.4,36700616.19,37747
1.61281E+12,2/8/2021 20:00,ADA/USDT,0.70957,0.715,0.70434,0.7095,24789888.2,17574614.43,20366
1.61281E+12,2/8/2021 19:00,ADA/USDT,0.7067,0.71197,0.70317,0.70989,20135276.3,14244426.83,18064
1.61281E+12,2/8/2021 18:00,ADA/USDT,0.71206,0.72284,0.70148,0.70686,48478410.5,34552213.71,37667
1.6128E+12,2/8/2021 17:00,ADA/USDT,0.7036,0.71499,0.6912,0.71173,62293399.9,43876440.77,43106
1.6128E+12,2/8/2021 16:00,ADA/USDT,0.68341,0.7238,0.6834,0.7037,74427412.26,52298754.66,65062
1.6128E+12,2/8/2021 15:00,ADA/USDT,0.68846,0.69945,0.681,0.68373,49894311.6,34423764.38,35732
1.61279E+12,2/8/2021 14:00,ADA/USDT,0.68083,0.6935,0.67443,0.68846,46772188.1,32033592.04,36885
1.61279E+12,2/8/2021 13:00,ADA/USDT,0.68635,0.7,0.6488,0.68041,74387590.6,50341912.69,48431
1.61279E+12,2/8/2021 12:00,ADA/USDT,0.68772,0.70935,0.68032,0.68662,62501765.7,43349992.08,47725
1.61278E+12,2/8/2021 11:00,ADA/USDT,0.67298,0.688,0.67274,0.688,42319512.1,28808216.13,47604
1.61278E+12,2/8/2021 10:00,ADA/USDT,0.65836,0.67588,0.65661,0.67336,31103253.5,20770224.94,46258
1.61277E+12,2/8/2021 9:00,ADA/USDT,0.66653,0.67777,0.65706,0.65836,28824717,19177020.27,22426
1.61277E+12,2/8/2021 8:00,ADA/USDT,0.66375,0.67901,0.66354,0.66653,29508808.8,19777269.78,24544
1.61277E+12,2/8/2021 7:00,ADA/USDT,0.65543,0.6677,0.654,0.66378,24369105.5,16107299.5,21096
1.61276E+12,2/8/2021 6:00,ADA/USDT,0.64551,0.66274,0.64549,0.6555,23014304.3,15076375.56,21712
1.61276E+12,2/8/2021 5:00,ADA/USDT,0.64893,0.65294,0.64359,0.64584,15692706.2,10153205.48,14974
1.61276E+12,2/8/2021 4:00,ADA/USDT,0.64299,0.6595,0.64074,0.64891,28692602.5,18697126.72,22867
1.61275E+12,2/8/2021 3:00,ADA/USDT,0.63659,0.65149,0.63191,0.64341,25787207.5,16573867.01,21965
1.61275E+12,2/8/2021 2:00,ADA/USDT,0.64929,0.65662,0.63291,0.63659,28178764.9,18156716.92,23375
1.61275E+12,2/8/2021 1:00,ADA/USDT,0.65433,0.66546,0.63715,0.64932,35951315.7,23339657.4,33175
1.61274E+12,2/8/2021 0:00,ADA/USDT,0.66109,0.67877,0.65014,0.65394,64774549,43054079.05,67720
1.61274E+12,2/7/2021 23:00,ADA/USDT,0.63302,0.66724,0.63036,0.66109,63455320.5,41418043.46,40251
1.61274E+12,2/7/2021 22:00,ADA/USDT,0.6386,0.6386,0.61507,0.63314,28700807.6,17993179.47,46329
1.61273E+12,2/7/2021 21:00,ADA/USDT,0.6288,0.64297,0.61913,0.63861,38605229.7,24383199.73,48238
1.61273E+12,2/7/2021 20:00,ADA/USDT,0.61419,0.62921,0.6,0.62906,36974170.1,22654543.79,24254
1.61272E+12,2/7/2021 19:00,ADA/USDT,0.62107,0.6315,0.61,0.61413,40669239.1,25315202.02,26389
1.61272E+12,2/7/2021 18:00,ADA/USDT,0.63236,0.6385,0.60687,0.62107,67267793.5,41875175.5,81985
1.61272E+12,2/7/2021 17:00,ADA/USDT,0.61777,0.64952,0.61133,0.63237,110408492.6,70148988.19,64753
1.61271E+12,2/7/2021 16:00,ADA/USDT,0.61142,0.6225,0.58,0.61834,115072282.7,69286584.27,68846
1.61271E+12,2/7/2021 15:00,ADA/USDT,0.6295,0.64024,0.586,0.61149,129468383.3,78988455.87,82442
1.61271E+12,2/7/2021 14:00,ADA/USDT,0.64634,0.64919,0.623,0.6295,92099373.2,58598049.71,63004
1.6127E+12,2/7/2021 13:00,ADA/USDT,0.67072,0.68166,0.64036,0.64634,55063318.6,36508005.73,38060
1.6127E+12,2/7/2021 12:00,ADA/USDT,0.67659,0.685,0.6536,0.6706,63328840.3,42326363.88,44892
1.6127E+12,2/7/2021 11:00,ADA/USDT,0.68956,0.69048,0.67108,0.67709,49553680.7,33789300.61,60591
1.61269E+12,2/7/2021 10:00,ADA/USDT,0.69186,0.70888,0.6792,0.68956,95456051.8,66684758.69,65000
1.61269E+12,2/7/2021 9:00,ADA/USDT,0.68561,0.698,0.67721,0.69188,55872314.7,38481890.91,51151
1.61268E+12,2/7/2021 8:00,ADA/USDT,0.66302,0.6872,0.6625,0.68585,62248118.4,41948226.26,70598
1.61268E+12,2/7/2021 7:00,ADA/USDT,0.69014,0.69555,0.65011,0.66315,105989053.5,71443817.41,75033
1.61268E+12,2/7/2021 6:00,ADA/USDT,0.66009,0.691,0.64523,0.69047,85441393.1,57149760.46,67558
1.61267E+12,2/7/2021 5:00,ADA/USDT,0.63338,0.66934,0.63105,0.66026,58996397.6,38346545.43,44669
1.61267E+12,2/7/2021 4:00,ADA/USDT,0.64252,0.647,0.62449,0.6334,38129875.6,24212701.86,28910
1.61267E+12,2/7/2021 3:00,ADA/USDT,0.64305,0.64649,0.62853,0.64252,30377445.8,19341060.18,27835
1.61266E+12,2/7/2021 2:00,ADA/USDT,0.63045,0.64681,0.61482,0.64314,53358542,33668146.57,42427
1.61266E+12,2/7/2021 1:00,ADA/USDT,0.64909,0.655,0.62261,0.63011,52001044.1,33328507.33,48542
1.61266E+12,2/7/2021 0:00,ADA/USDT,0.63444,0.65109,0.6221,0.6491,67995099,43362043.9,47210
1.61265E+12,2/6/2021 23:00,ADA/USDT,0.63217,0.637,0.61066,0.63444,80995711.9,50449314.73,84390
1.61265E+12,2/6/2021 22:00,ADA/USDT,0.65475,0.662,0.62832,0.63217,78370708.7,50459935.98,49526
1.61265E+12,2/6/2021 21:00,ADA/USDT,0.63678,0.66,0.6221,0.655,80755948.8,51652190.75,51551
1.61264E+12,2/6/2021 20:00,ADA/USDT,0.6161,0.66706,0.606,0.63677,220477155.8,139945740.1,124456
1.61264E+12,2/6/2021 19:00,ADA/USDT,0.5927,0.619,0.5768,0.6161,113352607.4,67994930.68,105684
1.61263E+12,2/6/2021 18:00,ADA/USDT,0.55259,0.598,0.55148,0.59272,131053519.2,76054211.09,86339
1.61263E+12,2/6/2021 17:00,ADA/USDT,0.54686,0.5538,0.5451,0.55259,20938969.3,11506772.55,16344
1.61263E+12,2/6/2021 16:00,ADA/USDT,0.54268,0.54985,0.538,0.54697,23457702.4,12770501.7,17447
1.61262E+12,2/6/2021 15:00,ADA/USDT,0.54182,0.54921,0.5396,0.54238,19286420.2,10508365.79,16946
1.61262E+12,2/6/2021 14:00,ADA/USDT,0.53702,0.5439,0.53532,0.54178,17079816.3,9232581.542,14252
1.61262E+12,2/6/2021 13:00,ADA/USDT,0.54162,0.54768,0.53534,0.53721,25749886.6,13917011.66,19567
1.61261E+12,2/6/2021 12:00,ADA/USDT,0.53577,0.54591,0.53094,0.54116,27573941.6,14881054.21,43398
1.61261E+12,2/6/2021 11:00,ADA/USDT,0.54472,0.54522,0.53264,0.53577,28827510.3,15495760.15,21962
1.61261E+12,2/6/2021 10:00,ADA/USDT,0.54921,0.55244,0.5427,0.54472,22716214,12448737.95,16641
1.6126E+12,2/6/2021 9:00,ADA/USDT,0.55143,0.55871,0.5482,0.54929,28727775.3,15914905.18,20990
