https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1617260400000,2021-04-01 07:00:00,XRP/USDT,0.56732000,0.57063000,0.56298000,0.56990000,21070868.10000000,11962968.35099200,16569
1617256800000,2021-04-01 06:00:00,XRP/USDT,0.56741000,0.57150000,0.56408000,0.56731000,19799261.60000000,11273768.37570500,15422
1617253200000,2021-04-01 05:00:00,XRP/USDT,0.57166000,0.57468000,0.56584000,0.56724000,20060800.20000000,11446939.19478700,16265
1617249600000,2021-04-01 04:00:00,XRP/USDT,0.57300000,0.57833000,0.56878000,0.57166000,23656348.80000000,13580073.54178400,18784
1617246000000,2021-04-01 03:00:00,XRP/USDT,0.57712000,0.57719000,0.57098000,0.57300000,20450790.00000000,11737550.06133200,17056
1617242400000,2021-04-01 02:00:00,XRP/USDT,0.57949000,0.58490000,0.57578000,0.57712000,31923707.60000000,18502387.83264000,20828
1617238800000,2021-04-01 01:00:00,XRP/USDT,0.57148000,0.59555000,0.56997000,0.57949000,92113242.10000000,53797312.92130800,77290
1617235200000,2021-04-01 00:00:00,XRP/USDT,0.56980000,0.57380000,0.56447000,0.57148000,26624846.90000000,15132613.54981900,21609
1617231600000,2021-03-31 23:00:00,XRP/USDT,0.56746000,0.57682000,0.56662000,0.56982000,38323286.60000000,21886826.16426600,31803
1617228000000,2021-03-31 22:00:00,XRP/USDT,0.56054000,0.57000000,0.55744000,0.56744000,19129561.30000000,10772763.01838000,18408
1617224400000,2021-03-31 21:00:00,XRP/USDT,0.56444000,0.56569000,0.55677000,0.56053000,18037216.40000000,10103858.31764600,13693
1617220800000,2021-03-31 20:00:00,XRP/USDT,0.55015000,0.56571000,0.54593000,0.56445000,27501395.60000000,15287581.33037700,25089
1617217200000,2021-03-31 19:00:00,XRP/USDT,0.55268000,0.55499000,0.54823000,0.55031000,15924432.40000000,8790845.58218100,15515
1617213600000,2021-03-31 18:00:00,XRP/USDT,0.55346000,0.55549000,0.55122000,0.55267000,16563871.30000000,9167316.70938300,13647
1617210000000,2021-03-31 17:00:00,XRP/USDT,0.54650000,0.56000000,0.54540000,0.55346000,26146275.40000000,14482294.26721200,22614
1617206400000,2021-03-31 16:00:00,XRP/USDT,0.54863000,0.55000000,0.54436000,0.54643000,20247666.10000000,11082567.70852500,17584
1617202800000,2021-03-31 15:00:00,XRP/USDT,0.54800000,0.55400000,0.54715000,0.54849000,23752739.80000000,13064189.28012800,19101
1617199200000,2021-03-31 14:00:00,XRP/USDT,0.55369000,0.55483000,0.54336000,0.54801000,25095159.00000000,13800559.59920400,23117
1617195600000,2021-03-31 13:00:00,XRP/USDT,0.54991000,0.55522000,0.54914000,0.55370000,21584322.20000000,11919560.56570700,18817
1617192000000,2021-03-31 12:00:00,XRP/USDT,0.54766000,0.55150000,0.54527000,0.54991000,18886639.30000000,10363992.16562800,15737
1617188400000,2021-03-31 11:00:00,XRP/USDT,0.54466000,0.54928000,0.54460000,0.54767000,18740490.10000000,10250980.35531500,14057
1617184800000,2021-03-31 10:00:00,XRP/USDT,0.54633000,0.54864000,0.53554000,0.54479000,29670421.00000000,16098940.99961700,22384
1617181200000,2021-03-31 09:00:00,XRP/USDT,0.54762000,0.54948000,0.54500000,0.54640000,19961906.90000000,10914287.01042000,15631
1617177600000,2021-03-31 08:00:00,XRP/USDT,0.54997000,0.55118000,0.53000000,0.54764000,55583159.00000000,30232524.23487000,39830
1617174000000,2021-03-31 07:00:00,XRP/USDT,0.56160000,0.56491000,0.54181000,0.54929000,34454151.80000000,19146730.97665300,27918
1617170400000,2021-03-31 06:00:00,XRP/USDT,0.55597000,0.56246000,0.55387000,0.56161000,34941295.00000000,19492809.05049700,23196
1617166800000,2021-03-31 05:00:00,XRP/USDT,0.55272000,0.55720000,0.55050000,0.55588000,18092764.70000000,10012753.86871400,13390
1617163200000,2021-03-31 04:00:00,XRP/USDT,0.55192000,0.55451000,0.54766000,0.55270000,28381979.90000000,15637112.44099600,16974
1617159600000,2021-03-31 03:00:00,XRP/USDT,0.56121000,0.56122000,0.52624000,0.55209000,109957401.30000000,59836966.74102600,77722
1617156000000,2021-03-31 02:00:00,XRP/USDT,0.56527000,0.56547000,0.56107000,0.56129000,16933486.20000000,9533698.98233600,11936
1617152400000,2021-03-31 01:00:00,XRP/USDT,0.56928000,0.57159000,0.56486000,0.56525000,15267222.40000000,8668760.27591000,12655
1617148800000,2021-03-31 00:00:00,XRP/USDT,0.56207000,0.57109000,0.56100000,0.56942000,13807360.60000000,7790480.39289200,13940
1617145200000,2021-03-30 23:00:00,XRP/USDT,0.56520000,0.56520000,0.56081000,0.56210000,10827573.20000000,6092160.45341900,10516
1617141600000,2021-03-30 22:00:00,XRP/USDT,0.56569000,0.56574000,0.56259000,0.56520000,9312377.10000000,5258624.85507800,8930
1617138000000,2021-03-30 21:00:00,XRP/USDT,0.56241000,0.56735000,0.56150000,0.56570000,8888824.90000000,5012668.17653800,8044
1617134400000,2021-03-30 20:00:00,XRP/USDT,0.56646000,0.56660000,0.56019000,0.56237000,11521626.40000000,6484301.92580500,11984
1617130800000,2021-03-30 19:00:00,XRP/USDT,0.56509000,0.56709000,0.56226000,0.56645000,9861175.80000000,5566070.71102300,9667
1617127200000,2021-03-30 18:00:00,XRP/USDT,0.56470000,0.56826000,0.56391000,0.56502000,11116107.50000000,6295110.86779100,10639
